AcademicYear,Date,Week,HeadCount,PaidCount,CashTaken,ClassTime,Venue,Event,Social
2011,27/09/11,1,26,0,0,6pm,Sugden,First Class,
2011,29/09/11,1,42,0,0,6.30pm,Sugden,,
2011,04/10/11,2,33,33,128.7,6pm,Sugden,,
2011,06/10/11,2,33,33,128.7,6.30pm,Sugden,,
2011,11/10/11,3,27,27,105.3,6pm,Sugden,,
2011,13/10/11,3,42,42,163.8,6.30pm,Sugden,,
2011,18/10/11,4,21,21,81.9,6pm,Sugden,,
2011,20/10/11,4,32,32,124.8,6.30pm,Sugden,,
2011,25/10/11,5,23,23,89.7,6pm,Sugden,,
2011,27/10/11,5,27,27,105.3,6.30pm,Sugden,,
2011,01/11/11,6,21,21,81.9,6pm,Sugden,,
2011,03/11/11,6,20,20,78,6.30pm,Sugden,,
2011,08/11/11,7,23,23,89.7,6pm,Sugden,,
2011,10/11/11,7,33,33,128.7,6.30pm,Sugden,,
2011,15/11/11,8,29,29,113.1,6pm,Sugden,,
2011,17/11/11,8,33,33,128.7,6.30pm,Sugden,,
2011,22/11/11,9,27,27,105.3,6pm,Sugden,,
2011,24/11/11,9,29,29,113.1,6.30pm,Sugden,,
2011,29/11/11,10,35,35,136.5,6pm,Sugden,,
2011,01/12/11,10,33,33,128.7,6.30pm,Sugden,,
2011,06/12/11,11,27,27,105.3,6pm,Sugden,,
2011,08/12/11,11,39,39,152.1,6.30pm,Sugden,Grading,
2011,31/01/12,12,21,21,81.9,6pm,Sugden,First Class,
2011,02/02/12,12,24,24,93.6,6.30pm,Sugden,,
2011,07/02/12,13,30,30,117,6pm,Sugden,,
2011,09/02/12,13,34,34,132.6,6.30pm,Sugden,,
2011,14/02/12,14,23,23,89.7,6pm,Sugden,,
2011,16/02/12,14,36,36,140.4,6.30pm,Sugden,,
2011,21/02/12,15,22,22,85.8,6pm,Sugden,,
2011,23/02/12,15,29,29,113.1,6.30pm,Sugden,,
2011,28/02/12,16,18,18,70.2,6pm,Sugden,,
2011,01/03/12,16,25,25,97.5,6.30pm,Sugden,,
2011,06/03/12,17,19,19,74.1,6pm,Sugden,,
2011,08/03/12,17,35,35,136.5,6.30pm,Sugden,,
2011,13/03/12,18,28,28,109.2,6pm,Sugden,,
2011,15/03/12,18,19,19,74.1,6.30pm,Sugden,,
2011,20/03/12,19,16,16,62.4,6pm,Sugden,,
2011,22/03/12,19,38,38,148.2,6.30pm,Sugden,Grading,
2011,17/04/12,20,14,14,54.6,6pm,Sugden,First Class,
2011,19/04/12,20,20,20,78,6.30pm,Sugden,,
2011,24/04/12,21,21,21,81.9,6pm,Sugden,,
2011,26/04/12,21,20,20,78,6.30pm,Sugden,,
2011,01/05/12,22,17,17,66.3,6pm,Sugden,,
2011,03/05/12,22,10,10,39,6.30pm,Sugden,,
2011,08/05/12,23,11,11,42.9,6pm,Sugden,,
2011,10/05/12,23,16,16,62.4,6.30pm,Sugden,,
2011,15/05/12,24,13,13,50.7,6pm,Sugden,,
2011,17/05/12,24,13,13,50.7,6.30pm,Sugden,,
2011,22/05/12,25,8,8,31.2,6pm,Sugden,,
2011,24/05/12,25,20,20,78,6.30pm,Sugden,,
2011,29/05/12,26,13,13,50.7,6pm,Sugden,,
2011,31/05/12,26,20,20,78,6.30pm,Sugden,Grading,
2011,05/06/12,27,0,0,0,6pm,Sugden,no class,
2011,07/06/12,27,12,12,46.8,6.30pm,Sugden,,
2012,25/09/12,1,39,39,152.1,6pm,Sugden,First Class,
2012,27/09/12,1,45,45,175.5,6.30pm,Sugden,,
2012,02/10/12,2,37,37,144.3,6pm,Sugden,,
2012,04/10/12,2,42,42,163.8,6.30pm,Sugden,,
2012,09/10/12,3,33,33,128.7,6pm,Sugden,,
2012,11/10/12,3,47,47,183.3,6.30pm,Sugden,,
2012,16/10/12,4,37,37,144.3,6pm,Sugden,,
2012,18/10/12,4,34,34,132.6,6.30pm,Sugden,,fight night (21st October)
2012,23/10/12,5,28,28,109.2,6pm,Sugden,,
2012,25/10/12,5,28,28,109.2,6.30pm,Sugden,,
2012,30/10/12,6,23,23,89.7,6pm,Sugden,,
2012,01/11/12,6,26,26,101.4,6.30pm,Sugden,,
2012,06/11/12,7,32,32,124.8,6pm,Sugden,,
2012,08/11/12,7,32,32,124.8,6.30pm,Sugden,,
2012,13/11/12,8,34,34,132.6,6pm,Sugden,,
2012,15/11/12,8,31,31,120.9,6.30pm,Sugden,,
2012,20/11/12,9,32,32,124.8,6pm,Sugden,,
2012,22/11/12,9,32,32,124.8,6.30pm,Sugden,,
2012,27/11/12,10,30,30,117,6pm,Sugden,,
2012,29/11/12,10,38,38,148.2,6.30pm,Sugden,,drinks
2012,04/12/12,11,34,34,132.6,6pm,Sugden,,
2012,06/12/12,11,44,44,171.6,6.30pm,Sugden,Grading,
2012,29/01/13,12,31,31,120.9,6pm,Sugden,,
2012,31/01/13,12,31,31,120.9,6.30pm,Sugden,,
2012,05/02/13,13,36,36,140.4,6pm,Sugden,,
2012,07/02/13,13,32,32,124.8,6.30pm,Sugden,,
2012,12/02/13,14,28,28,109.2,6pm,Sugden,,
2012,14/02/13,14,16,16,62.4,6.30pm,Sugden,,
2012,19/02/13,15,22,22,85.8,6pm,Sugden,,
2012,21/02/13,15,29,29,113.1,6.30pm,Sugden,,
2012,26/02/13,16,29,29,113.1,6pm,Sugden,,
2012,28/02/13,16,34,34,132.6,6.30pm,Sugden,,
2012,05/03/13,17,26,26,101.4,6pm,Sugden,,
2012,07/03/13,17,36,36,140.4,6.30pm,Sugden,,
2012,12/03/13,18,31,31,120.9,6pm,Sugden,,
2012,14/03/13,18,34,34,132.6,6.30pm,Sugden,,
2012,19/03/13,19,25,25,97.5,6pm,Sugden,,
2012,21/03/13,19,31,31,120.9,6.30pm,Sugden,Grading,
2012,16/04/13,20,25,25,97.5,6pm,Sugden,First Class,
2012,18/04/13,20,28,28,109.2,6.30pm,Sugden,,
2012,23/04/13,21,22,22,85.8,6pm,Sugden,,
2012,25/04/13,21,25,25,97.5,6.30pm,Sugden,,
2012,30/04/13,22,20,20,78,6pm,Sugden,,
2012,02/05/13,22,25,25,97.5,6.30pm,Sugden,,
2012,07/05/13,23,20,20,78,6pm,Sugden,,
2012,09/05/13,23,16,16,62.4,6.30pm,Sugden,,annual course (11th May)
2012,14/05/13,24,13,13,50.7,6pm,Sugden,,
